[0,	1.65,	1.65],
[1,	1.57,	1.57],
[2,	1.53,	1.53],
[3,	1.51,	1.51],
[8,	1.49,	1.49],
[26,	1.46,	1.46],
[47,	1.45,	1.45],
[66,	1.42,	1.42],
[86,	1.40,	1.40],
[105,	1.38,	1.38],
[126,	1.36,	1.36],
[147,	1.34,	1.34],
[167,	1.32,	1.32],
[189,	1.30,	1.30],
[209,	1.28,	1.28],
[230,	1.26,	1.26],
[251,	1.24,	1.24],
[272,	1.22,	1.22],
[292,	1.20,	1.20],
[314,	1.19,	1.19],
[334,	1.17,	1.17],
[355,	1.15,	1.15],
[376,	1.13,	1.13],
[397,	1.11,	1.11],
[417,	1.10,	1.10],
[438,	1.08,	1.08],
[459,	1.06,	1.06],
[480,	1.05,	1.05],
[500,	1.04,	1.04],
[522,	1.02,	1.02],
[542,	1.00,	1.00],
[563,	0.99,	0.99],
[584,	0.98,	0.98],
[605,	0.96,	0.96],
[625,	0.95,	0.95],
[647,	0.94,	0.94],
[667,	0.92,	0.92],
[688,	0.91,	0.91],
[709,	0.90,	0.90],
[730,	0.89,	0.89],
[750,	0.87,	0.87],
[771,	0.86,	0.86],
[792,	0.85,	0.85],
[813,	0.84,	0.84],
[833,	0.83,	0.83],
[855,	0.82,	0.82],
[875,	0.81,	0.81],
[896,	0.80,	0.80],
[917,	0.79,	0.79],
[937,	0.78,	0.78],
[958,	0.77,	0.77],
[979,	0.77,	0.77],
[1000,	0.76,	0.76],
[1021,	0.75,	0.75],
[1044,	0.74,	0.74],
[1065,	0.73,	0.73],
[1087,	0.72,	0.72],
[1110,	0.72,	0.72],
[1131,	0.71,	0.71],
[1153,	0.70,	0.70],
[1175,	0.70,	0.70],
[1197,	0.69,	0.69],
[1218,	0.68,	0.68],
[1240,	0.68,	0.68],
[1262,	0.67,	0.67],
[1284,	0.66,	0.66],
[1305,	0.66,	0.66],
[1328,	0.66,	0.66],
[1349,	0.65,	0.65],
[1371,	0.65,	0.65],
[1393,	0.64,	0.64],
[1415,	0.64,	0.64],
[1436,	0.64,	0.64],
[1459,	0.63,	0.63],
[1480,	0.63,	0.63],
[1502,	0.62,	0.62],
[1524,	0.62,	0.62],
[1546,	0.62,	0.62],
[1567,	0.62,	0.62],
[1590,	0.61,	0.61],
[1611,	0.61,	0.61],
[1633,	0.61,	0.61],
[1655,	0.60,	0.60],
[1677,	0.60,	0.60],
[1698,	0.60,	0.60],
[1721,	0.59,	0.59],
[1742,	0.59,	0.59],
[1764,	0.59,	0.59],
[1786,	0.58,	0.58],
[1808,	0.58,	0.58],
[1829,	0.58,	0.58],
[1852,	0.58,	0.58],
[1873,	0.57,	0.57],
[1895,	0.57,	0.57],
[1917,	0.57,	0.57],
[1939,	0.57,	0.57],
[1960,	0.57,	0.57],
[1983,	0.57,	0.57],
[2004,	0.56,	0.56],
[2026,	0.56,	0.56],
[2049,	0.56,	0.56],
[2070,	0.56,	0.56],
[2092,	0.56,	0.56],
[2114,	0.55,	0.55],
[2136,	0.55,	0.55],
[2157,	0.55,	0.55],
[2180,	0.55,	0.55],
[2201,	0.55,	0.55],
[2223,	0.55,	0.55],
[2245,	0.54,	0.54],
[2267,	0.55,	0.55],
[2288,	0.54,	0.54],
[2311,	0.54,	0.54],
[2332,	0.54,	0.54],
[2354,	0.54,	0.54],
[2376,	0.54,	0.54],
[2398,	0.54,	0.54],
[2419,	0.54,	0.54],
[2442,	0.54,	0.54],
[2463,	0.54,	0.54],
[2485,	0.54,	0.54],
[2507,	0.54,	0.54],
[2529,	0.54,	0.54],
[2550,	0.54,	0.54],
[2573,	0.54,	0.54],
[2594,	0.54,	0.54],
[2616,	0.54,	0.54],
[2637,	0.54,	0.54],
[2660,	0.54,	0.54],
[2681,	0.53,	0.53],
[2703,	0.53,	0.53],
[2725,	0.53,	0.53],
[2747,	0.53,	0.53],
[2768,	0.53,	0.53],
[2791,	0.54,	0.54],
[2812,	0.53,	0.53],
[2834,	0.54,	0.54],
